tagId,adId
1,69f38bf5-d9f3-4ceb-b575-972a0a3ea50f
1,69f480ae-c930-452c-ad02-554587d25de7
4,69f4bd5f-6ac0-409f-b766-d97080d9edfa
4,69f5cb00-9888-4ae3-bb23-d916a28b3f52
2,69f69e96-8190-42f7-bbf2-8aa369b6d7e2
4,69f7a565-2de3-4c34-a838-59254f4d5721
3,69f7a7dd-f06c-4640-8b57-d6908efb1a75
4,69f7e388-ccee-4656-869a-d491ea09f05d
2,69f95cfb-c8f2-43db-8f2c-e29c6a678b8d
4,69f95e71-2e43-4113-bbba-7ea6f0d7f1be
4,69f9a69d-1c5c-45fe-8965-347ebe59e114
1,69f9c3c0-d1d2-471d-b5df-79ebb081ecb4
1,69fabe5e-15ed-4c43-b2c9-9afe7c1e0ca3
1,69fade3a-0bb8-45e1-8c8d-af6106abd222
2,69fb1dbf-92b9-4169-b216-f071ad6dabca
1,69fc382f-b040-4957-9378-5361265c49e3
3,69fc41db-3c39-41d2-8618-34cf47e33b3e
1,69fc6ba1-e4db-4b12-bc06-0f45c9a10c72
3,69fd6aac-ace8-4f3b-b692-8908bb6617db
4,69fe2b91-71f6-43e4-932f-7b144d5a7bfe
1,69fee74d-9203-4f2b-8561-a4a79cccf855
4,6a0028e2-90fb-442e-a7f2-8c096e76f281
4,6a00a5d1-65a5-4b0b-89c0-6dbc69a245c3
4,6a00e857-fa3d-43f0-8bc6-aa7301a36cb8
1,6a015abf-5d01-49bb-b610-9c1c78f63317
2,6a01f8d1-a897-4458-a79c-e0df9efb6422
2,6a038106-c47f-4c7b-9e68-0cdfc31a4354
3,6a038804-1dba-4c17-bf88-516d3aa10dd8
4,6a03ab5e-7db8-48d1-a3c1-12d7c67bfc35
2,6a042047-f7b9-4f17-85e5-ac428d6da8ea
3,6a04b61a-92c1-4603-b2ed-42ac02f3e7ba
2,6a04cd6a-59f6-4baf-8921-98a8913909f8
2,6a0507b8-4c26-467e-b333-b0b08d973a91
2,6a0532f4-079f-451d-9fef-5adb03a2fae7
4,6a056b2d-92af-4208-8750-d571b2068b9d
2,6a05b37f-e3d7-429e-9f03-688a36d25c7b
1,6a05d5f5-2be5-4182-9168-956bc66d896f
1,6a05fb4f-f1dc-4bc1-bf65-b67add3f9975
2,6a060f9e-d038-4dd5-92b1-1b7c18685bed
3,6a065e81-a595-4f49-af91-efc05cec7392
1,6a06aed4-cdb2-4466-a3eb-96077df4b4b1
4,6a06ed34-89b5-40b9-b9cc-c8422051f119
2,6a06f3a4-3ec0-47d0-9cce-6c5c73a2e485
1,6a084f45-3f33-4a6f-891b-752dc5fa1900
2,6a09e725-e8f3-48aa-ab5f-f313af980e08
2,6a0a7ac1-e30b-44b4-909b-56c2d32d2006
4,6a0b8928-1322-4bc5-9b67-db642a33a4c7
4,6a0c7e34-d802-4651-9c5f-f29e1e524666
2,6a0cb93b-b42d-4d70-9971-2366580f4632
3,6a0cc5d6-6df4-4301-b248-b1bf9429cb11
3,6a0d39cd-0af3-4057-902b-4f568054d81c
2,6a0dcb34-c711-466c-b3ef-6d88c6e73dcb
4,6a0df94e-22f8-4007-9dc0-2695f28795de
